,AES_predictions,Alliant_Energy_Corp_predictions,Ameren_Corp_predictions,American_Electric_Power_predictions,American_Water_Works_Company_predictions,CMS_Energy_predictions,Consolidated_Edison_predictions,DTE_Energy_predictions,Duke_Energy_predictions,Dominion_Energy_predictions,Edison_Int_predictions,Entergy_predictions,Evergy_predictions,Eversource_Energy_predictions,Exelon_predictions,FirstEnergy_predictions,NextEra_Energy_predictions,NiSource_predictions,NRG_Energy_predictions,Pinnacle_West_Capital_predictions,PPL_Corp_predictions,Public_Serv_Enterprise_predictions,Southern_predictions,Sempra_Energy_predictions,Wec_Energy_Group_predictions,Xcel_Energy_predictions
35,[11.88683762],[37.27062784],[50.92105399],[61.25882727],[75.96062414],[41.86375912],[72.6650895],[95.86928878],[76.30717777],[76.09509397],[71.12315485],[71.35672441],[22.53786913],[53.70182669],[33.66866385],[32.54565434],[117.25794241],[22.35471158],[11.33560556],[76.78909282],[34.1955331],[42.88440708],[48.29043614],[101.30098854],[58.10437293],[40.46539876]
36,[11.45892722],[35.93995222],[49.06792282],[59.14004783],[72.64781246],[40.21517904],[69.64077385],[93.0684256],[73.82645716],[73.47397539],[68.8236262],[68.81248645],[22.63633981],[51.54154118],[32.46707428],[31.33192734],[114.1708588],[21.93036711],[11.27605079],[73.94452466],[33.46781331],[41.37073729],[46.77008345],[99.66000094],[56.00605666],[39.04075324]
37,[11.0189589],[35.47608839],[49.05715574],[58.24787131],[71.84226944],[39.76714836],[69.57726126],[93.89254115],[72.89945409],[72.86210355],[68.83922714],[69.01999294],[22.52838264],[51.2280247],[32.14670418],[31.04581226],[113.06996239],[21.69839108],[11.07652747],[73.22327858],[33.0977168],[41.04352373],[46.71045047],[99.37083011],[55.51513971],[38.65820697]
38,[11.1612409],[35.89993129],[49.85384676],[58.76659506],[72.90241509],[40.04771042],[69.84738868],[95.24223527],[73.56424768],[73.64325904],[69.5631179],[69.34634563],[68.65331133],[51.85993831],[33.12780047],[30.67198991],[114.54274258],[21.67647957],[11.18680827],[73.59651314],[33.34555494],[41.323256],[46.84427483],[100.05803081],[55.79643801],[38.85872927]
39,[11.35633517],[36.05378754],[49.15130762],[59.23737413],[72.73684297],[39.96324758],[69.8466353],[95.04105709],[73.64322986],[73.51034195],[69.6723623],[69.36921513],[70.81996364],[51.97799902],[33.36231717],[30.54056884],[115.15136072],[21.61983656],[11.72035962],[73.88317812],[33.26408082],[41.7769988],[46.91956272],[98.98992414],[55.73493347],[38.85688501]
40,[11.35369928],[36.08511944],[49.23483471],[59.42286909],[71.99216067],[39.86717484],[69.03097663],[95.01974512],[73.66619137],[72.83623237],[68.68389128],[69.15418617],[75.29450821],[51.9415186],[32.95127475],[30.31378135],[114.6981295],[21.44521863],[11.82193351],[74.51738409],[33.09301245],[41.37376828],[46.86902379],[98.64676799],[55.28407147],[38.71612657]
41,[11.61565579],[36.44267666],[49.89806165],[60.19870666],[72.62912303],[40.56275632],[70.45861336],[96.90286784],[74.56188469],[73.47094727],[69.67608374],[70.42051094],[64.59973684],[52.95474789],[33.50761634],[30.07113026],[117.62441628],[21.55159242],[11.91940507],[75.0962172],[33.11009721],[41.63626979],[47.13930243],[99.52254488],[56.26325735],[39.30976964]
42,[11.81424321],[36.42448442],[49.84950125],[60.18042853],[73.13355943],[40.62374187],[70.5613757],[96.21534304],[74.75602003],[73.45515743],[69.4952365],[70.40615757],[67.65023548],[53.25892953],[34.2642914],[30.46660778],[116.81757602],[21.69575216],[12.42940507],[75.16882348],[33.11424107],[42.22407701],[47.40816076],[99.63897066],[56.47789363],[39.25393249]
43,[11.89375602],[36.82345152],[50.69350672],[60.96619691],[73.02343417],[41.11522882],[71.48088723],[97.49873035],[75.81087842],[74.52045437],[70.00312408],[70.75193727],[71.87267044],[53.72184673],[34.88871952],[30.72155446],[116.57282852],[21.76390031],[12.84428235],[76.21488494],[33.51058945],[42.70023533],[47.93518003],[100.66027413],[57.17048811],[39.82016946]
44,[11.98897821],[37.18476805],[51.33077653],[61.91136227],[73.67584074],[41.72122578],[72.77066708],[98.32634894],[76.44551823],[75.38082597],[70.37080849],[71.54649904],[69.68738471],[54.25204073],[34.48150862],[31.01688478],[117.37413991],[21.86660779],[12.56194353],[77.16489921],[33.94113058],[42.93382595],[48.69495942],[102.91020599],[57.88945961],[40.41749218]
