,Conagra_Brands_predictions,Kimberly_Clark_predictions,MetLife_predictions,Raymond_James_Financial_predictions,Flowserve_Corporation_predictions,TripAdvisor_predictions,TwentyFirst_Century_Fox_A_predictions,TwentyFirst_Century_Fox_B_predictions,Verizon_Communications_predictions,Viacom_predictions,The_Walt_Disney_predictions
97,[41.21756718],[133.29372653],[54.39734385],[81.15681705],[48.08677086],[41.31267144],[30.39999818],[29.83611019],[49.8467697],[43.72537304],[111.10836749]
98,[41.07683632],[134.56575573],[53.42196751],[79.57051789],[46.91494799],[40.73168647],[30.17406647],[29.67698936],[50.02442579],[41.96219904],[110.58871517]
99,[41.15651661],[133.66811682],[54.86934439],[79.87091276],[46.56698678],[41.71626545],[30.48616499],[29.99240129],[50.06872482],[42.36185306],[111.30049906]
100,[41.27387345],[133.29490406],[53.92095953],[79.09583221],[45.97412654],[41.51764519],[30.67280201],[30.16715752],[50.0073476],[42.06267615],[110.67809916]
101,[40.75547289],[133.37565188],[53.25426114],[78.67344222],[45.98486877],[41.25233124],[30.51273715],[30.10616624],[49.43175734],[42.96543646],[110.85601628]
102,[40.33724361],[132.52368751],[53.50523787],[78.69626557],[46.00024684],[43.78711241],[30.34944527],[29.98158786],[49.15815521],[43.989055],[110.89855378]
103,[40.63809993],[132.69956417],[53.56571323],[79.24477627],[45.18569826],[43.63566216],[30.67729382],[30.22721342],[49.30171568],[44.37966227],[111.05856316]
104,[40.94481214],[133.90727568],[54.06550037],[79.39508592],[46.00586361],[43.52814213],[30.53523251],[29.95122594],[49.37388082],[43.62189874],[110.99872367]
105,[40.98533082],[133.86454808],[54.184899],[79.14656267],[46.20863293],[43.42539561],[30.51418371],[29.96895064],[49.45084332],[43.06345101],[111.56335448]
106,[41.20384844],[133.49096587],[53.87642955],[78.23320862],[45.48592992],[42.2980605],[30.50465105],[29.89371413],[49.34066342],[43.29595616],[112.36470723]
107,[41.49094373],[134.95545537],[53.66875072],[77.16590872],[47.15913467],[42.63517758],[30.72718659],[30.3079263],[50.15286764],[43.92766606],[111.88996444]
108,[41.4676803],[134.66712368],[54.01560447],[77.87088739],[46.85112197],[43.05011792],[30.75711689],[30.19667383],[50.04641978],[43.99384563],[111.72545818]
109,[41.41276932],[133.30346768],[53.33424957],[77.95520157],[47.0168306],[43.24263336],[30.81996269],[30.28068701],[50.38547048],[43.32263175],[111.73700812]
110,[40.84188455],[133.65206268],[53.13634278],[77.7718998],[46.59642322],[42.89215864],[30.61777285],[30.06697308],[50.21604438],[42.79775643],[112.74181778]
111,[40.84178222],[133.83299363],[51.89521115],[73.90842283],[45.69131383],[41.64757102],[30.55211219],[30.08566172],[50.18873492],[41.99701435],[111.81827388]
112,[40.53932131],[132.94567613],[51.7543427],[74.1521233],[45.8947758],[41.33484302],[30.95662763],[30.39630592],[49.69268917],[42.5843528],[112.13305076]
