,American_Tower_Corp_predictions,Alexandria_Real_Estate_Equities_predictions,Apartment_Investment_Management_predictions,AvalonBay_Communities_predictions,Boston_Properties_predictions,Crown_Castle_International_predictions,Digital_Realty_Trust_predictions,Duke_Realty_predictions,Equinix_predictions,Equity_Residential_predictions,Essex_Property_Trust_predictions,Extra_Space_Storage_predictions,Federal_Realty_Investment_Trust_predictions,HCP_predictions,Host_Hotels_Resorts_predictions,Iron_Mountain_predictions,Kimco_Realty_predictions,Macerich_predictions,Mid_America_Apartments_predictions,Prologis_predictions,Public_Storage_predictions,Realty_Income_Corporation_predictions,Regency_Centers_Corporation_predictions,SBA_Communications_predictions,Simon_Property_Group_predictions,SL_Green_Realty_predictions,UDR_predictions,Ventas_predictions,Vornado_Realty_Trust_predictions,Weyerhaeuser_predictions
39,[102.47434722],[110.16036551],[41.92812157],[164.68332337],[124.18529906],[83.60545707],[90.08981164],[25.82919976],[333.38221863],[61.06541418],[214.14961264],[70.50237525],[139.55898557],[29.23434981],[18.31332929],[33.95532002],[25.715216],[68.76936841],[88.87154719],[50.69989768],[212.65313717],[54.72692864],[66.05249854],[98.22007831],[181.05891931],[108.32847159],[33.67139229],[59.68668891],[100.40904429],[31.74940287]
40,[100.78948649],[111.05534639],[41.77327552],[164.2830069],[126.05189054],[83.62719398],[89.78013997],[25.97505017],[329.92102806],[61.68524947],[214.2300457],[72.05697117],[140.01235786],[29.44445548],[18.50372091],[33.82527972],[25.89315122],[69.02409528],[88.55533865],[50.65417684],[214.86407167],[54.54173282],[66.04163871],[98.27357619],[179.88946058],[109.80209618],[33.52547755],[59.89080435],[101.79383671],[31.86053845]
41,[101.98759126],[110.81982577],[42.41299152],[168.01207819],[128.70471345],[84.64798967],[92.24575205],[26.61000137],[339.42165888],[62.52144585],[217.562935],[74.32877699],[141.51805474],[30.18520599],[18.94990424],[34.7777682],[26.22582243],[70.79961171],[89.07085325],[52.52830761],[221.31246078],[55.39065927],[67.12947782],[100.42284983],[183.46708799],[111.01405508],[33.91896446],[62.14718363],[103.65336953],[33.06651103]
42,[102.58313884],[110.77524771],[42.63078831],[168.83027965],[129.35670361],[84.97790949],[94.18481511],[26.67412494],[346.47979467],[62.84508065],[219.38283124],[75.43267804],[141.74071249],[30.13769214],[18.96927334],[34.98212348],[26.34977126],[70.87930249],[92.32238971],[52.38975971],[221.26953104],[55.4053995],[67.58001614],[99.22651487],[184.00458164],[110.92546777],[34.21622495],[62.61849425],[103.68038767],[32.78579778]
43,[102.99661373],[110.0108299],[42.3076384],[169.12662046],[128.62667841],[85.61799174],[93.92432761],[26.5586452],[345.15431926],[62.84649588],[218.84394635],[75.10249698],[141.59966548],[30.04812219],[19.19207854],[34.66178127],[25.99481852],[71.22496035],[93.3657335],[52.46575171],[219.16450452],[55.67040933],[67.71094186],[98.54044352],[183.40724297],[110.65281106],[34.24809206],[62.50192797],[103.2418354],[32.7401376]
44,[103.76985486],[109.84562817],[42.4431216],[170.430236],[129.29539741],[86.82212067],[96.56907321],[26.67073081],[356.70471464],[63.03613801],[219.03389113],[74.71883247],[141.34319634],[30.38992639],[18.96451653],[34.17219194],[26.36433072],[71.41424751],[94.93716343],[52.96196039],[217.74515633],[56.21230312],[69.04194864],[99.39739474],[186.06898869],[112.97987708],[34.57665832],[63.20528287],[104.99036643],[33.19438721]
45,[106.19563105],[109.04604841],[42.78960661],[170.67846869],[129.0325729],[88.11400047],[96.60547894],[26.78259963],[360.76959167],[63.18098951],[219.20684933],[74.13622302],[142.27402337],[30.41558236],[19.0682249],[33.12328246],[26.37804211],[71.18666645],[95.71062456],[53.33067718],[218.6287381],[56.1812734],[68.51676898],[103.50476509],[187.79109783],[112.83208373],[34.55302805],[63.3656641],[104.22737627],[31.95758072]
46,[106.57931601],[106.89615996],[42.63693852],[170.12969839],[125.21121622],[86.1557126],[94.53224341],[25.8229461],[353.56928038],[62.81684518],[219.89768869],[73.41117553],[138.74369537],[28.85434339],[18.85985859],[32.17050162],[25.45160107],[69.22216206],[94.6377076],[51.72842941],[215.18136052],[54.58445602],[67.03807721],[101.62541283],[181.32629793],[110.73010532],[34.300629],[61.15667897],[102.26930383],[31.29378728]
47,[106.04302777],[105.96744099],[43.23808278],[169.68458345],[122.61934667],[85.66351353],[94.41835499],[25.68245705],[349.37195816],[63.02027506],[221.53526468],[72.33063262],[138.31815512],[28.30841511],[18.93573245],[31.71105565],[25.06167559],[68.45019708],[95.50729356],[51.39495315],[216.33035095],[54.06182964],[66.53515612],[101.79899204],[179.83673053],[107.90818022],[34.57189927],[60.28244925],[101.43376174],[30.5301026]
48,[105.68518374],[108.03106209],[44.25152446],[172.85403413],[124.57036979],[85.69264892],[94.75651725],[26.25360253],[350.74329548],[64.03164678],[227.00691613],[74.27510869],[140.24259735],[29.18117746],[19.01456394],[32.0391355],[25.50096993],[69.79111818],[96.78226957],[52.57662995],[218.92381358],[55.60284729],[67.79935723],[101.34918998],[181.69304966],[109.71966141],[35.21240308],[61.22539682],[103.42956909],[30.66180375]
49,[107.01869682],[109.77265896],[44.60699693],[174.81092384],[126.32343659],[87.534111],[96.86994294],[26.15733967],[355.65030334],[64.09044586],[229.10770601],[75.07520351],[142.2418687],[30.41095457],[19.19471615],[31.98850232],[25.70320373],[69.78837758],[96.96599318],[52.46769627],[220.53363431],[57.43681356],[68.23567861],[105.02905945],[182.81302929],[110.08022955],[35.53989239],[61.70857713],[103.92726318],[30.42345231]
50,[107.10886943],[111.01566239],[44.8826911],[175.32160506],[127.34725705],[87.6490845],[95.54182329],[26.11088776],[355.04002795],[64.3491637],[229.73315807],[74.44186887],[141.87847747],[29.95839398],[19.09907384],[31.99543612],[25.88805805],[69.92285719],[97.53287726],[52.40419841],[217.78271544],[56.61114202],[68.19513598],[104.03046945],[182.61915883],[110.27596942],[35.86421188],[61.76702039],[104.7204246],[30.70678179]
51,[106.63668578],[108.90932175],[43.93241842],[173.11178297],[124.44837822],[87.09942413],[95.39464396],[25.99642253],[349.78012945],[63.49509448],[227.77730862],[73.47948159],[139.72646589],[29.29744784],[19.16908695],[32.26747233],[25.30771769],[68.57743612],[94.18337151],[51.86203863],[215.09769395],[56.22566829],[67.02875234],[104.60928595],[178.12564255],[107.44067049],[35.22880774],[61.09655143],[102.99474934],[30.8463787]
52,[106.52822906],[108.64500309],[44.61242203],[173.7417466],[124.59520212],[86.96379559],[96.25952683],[25.98725848],[351.3881251],[63.08598008],[229.80518545],[74.3824088],[139.94907207],[29.18239159],[18.76951331],[32.40683294],[25.19323129],[68.42121695],[95.44516308],[52.02627393],[217.48029751],[56.45956577],[67.41194418],[104.32747559],[176.27438051],[106.94302929],[35.44832847],[61.2920062],[103.11365052],[30.59627567]
