,Air_Products_Chemicals_predictions,Albemarle_Corp_predictions,Avery_Dennison_predictions,Ball_predictions,Celanese_predictions,CF_Industries_Holdings_predictions,Eastman_Chemical_predictions,Ecolab_predictions,FMC_Corporation_predictions,Freeport_McMoRan_predictions,International_Paper_predictions,LyondellBasell_predictions,Martin_Marietta_Materials_predictions,The_Mosaic_Company_predictions,Newmont_Mining_Corporation_predictions,Nucor_predictions,Packaging_Corporation_of_America_predictions,Sealed_Air_predictions,Sherwin_Williams_predictions,Vulcan_Materials_predictions
285,[163.20017617],[134.36341041],[114.15333019],[39.88588551],[107.30549794],[37.27626512],[92.3669259],[135.81418252],[94.48790751],[13.88614442],[56.58106027],[104.66581185],[208.54447141],[24.23390136],[37.0327874],[57.56146263],[118.53321882],[48.01548141],[399.85412096],[125.50363623]
286,[161.64461838],[132.01457252],[112.64573903],[39.71811893],[106.49940296],[37.39108312],[92.01078003],[134.91176436],[93.89459248],[14.10348161],[55.64854999],[104.09263146],[202.54667055],[24.27618584],[37.15881487],[57.34762915],[117.43733049],[47.76691358],[395.03584792],[121.27135642]
287,[162.39623292],[129.73006459],[112.16818615],[40.63926935],[106.92630314],[36.68907401],[91.41213099],[137.15801508],[91.4724966],[14.29774709],[56.83496228],[103.83964905],[208.61171789],[23.65335696],[36.85167588],[58.77397627],[118.7414955],[48.16176798],[406.90012743],[125.48364098]
288,[161.99181797],[128.04960293],[113.14847649],[40.75385617],[105.88037648],[37.19248145],[91.18887946],[137.41268229],[89.9433371],[14.08910091],[56.8836489],[104.66551635],[205.89597367],[23.84205135],[36.29154153],[57.67352465],[117.94580234],[47.96817761],[405.49942149],[122.70935405]
289,[160.49055652],[127.34644249],[111.75457439],[40.77794065],[105.71759405],[36.33625997],[90.59407416],[136.78681244],[88.00211115],[14.3295597],[56.90661982],[104.76735455],[201.86909158],[23.36708788],[35.90403],[57.95204985],[117.45323301],[47.67154178],[402.14574407],[121.24325798]
290,[161.06134648],[129.35218279],[112.45175267],[40.80176729],[105.89956575],[38.0612031],[91.49829159],[136.06135633],[88.28765066],[14.84475991],[56.68008788],[106.54026653],[208.57421949],[23.86859127],[35.9171349],[58.53623452],[117.96139761],[47.9335956],[406.01563449],[125.00813114]
291,[160.88502122],[130.90865845],[113.61431266],[39.58565881],[106.66292432],[39.07256889],[92.2076449],[135.41415902],[88.77225469],[14.96758644],[56.94844462],[107.12243721],[214.10723596],[23.57994345],[35.39517546],[60.14078052],[118.50267996],[47.80005411],[409.02221273],[125.68128163]
292,[163.24956083],[131.41830617],[115.09765265],[39.61562672],[105.68665727],[39.17269508],[92.84669538],[134.79883357],[89.62516505],[14.99833159],[57.33031898],[107.40648868],[208.76311021],[23.81837484],[34.73484802],[61.37326682],[118.14663567],[47.82018051],[408.25675745],[123.00741653]
293,[162.98695946],[130.44005718],[114.3675709],[38.88558329],[107.01987075],[40.44537103],[93.05615568],[134.93371848],[90.14115235],[15.70695512],[56.66378048],[106.88114516],[207.34048619],[24.8536194],[34.63395606],[62.03071143],[116.99872214],[47.69678534],[407.17067183],[121.83223612]
294,[162.60251008],[130.01661385],[114.40731216],[38.64681492],[108.3441902],[41.07874731],[93.06667592],[135.07002132],[90.73035463],[16.33867334],[56.46224403],[107.43608045],[207.93144183],[24.61152443],[35.65670548],[61.88758216],[117.0267336],[48.24596963],[405.77940321],[123.2116391]
295,[160.52589773],[127.45240095],[114.32952378],[38.30886623],[105.77487041],[40.80913823],[91.03409228],[134.4233434],[89.84671639],[16.1671457],[55.1997415],[105.43187404],[202.40957562],[24.88898101],[35.79544781],[59.52647639],[115.08000191],[48.03823811],[400.80033672],[120.26075261]
296,[160.37634362],[129.63651287],[116.01708985],[39.38139849],[106.53538249],[40.916334],[90.18702425],[135.21879005],[92.30669505],[16.97692959],[56.25650645],[106.06676028],[204.89630078],[24.91545751],[35.9011193],[59.98020833],[115.27287039],[48.68584929],[403.88482714],[121.0704059]
297,[162.14833902],[132.14197874],[116.09126944],[38.51301174],[108.53458784],[40.74666709],[91.66424838],[135.84642513],[93.92539083],[17.34020067],[57.42014546],[109.72398697],[207.62718921],[24.4556335],[36.67866057],[61.91307253],[117.11110021],[49.30222893],[408.00251938],[122.35812072]
