,Activision_Blizzard_predictions,ATT_predictions,CBS_predictions,CenturyLink_predictions,Comcast_predictions,Discovery_Class_A_predictions,Discovery_Class_C_predictions,Dish_predictions,Electronic_Arts_predictions,Facebook_predictions,Interpublic_Group_predictions,Netflix_predictions,News_Corp_Class_A_predictions,News_Corp_Class_B_predictions,Omnicom_Group_predictions,Take_Two_Interactive_predictions,Twitter_predictions
334,[68.08806885],[36.32211639],[53.07063455],[16.79634857],[38.56389094],[22.98096266],[21.76542517],[43.98337443],[122.00517891],[177.09575835],[21.89038707],[257.97270791],[15.71600585],[16.11746038],[78.61133854],[109.70778426],[30.83425226]
335,[68.07416943],[36.58774886],[54.64129608],[17.1875845],[38.93650929],[23.48852448],[22.22183489],[44.31281511],[122.61418605],[174.03539542],[22.20117256],[258.13421671],[16.22281775],[16.55678702],[79.50844059],[108.26928972],[32.97812813]
336,[71.95405431],[37.03448234],[56.70668028],[19.18534058],[40.12216992],[23.96885477],[22.76253329],[45.71663496],[127.21372322],[180.27480581],[25.02071633],[279.91469032],[16.39737407],[16.63272217],[77.46120968],[108.87987256],[33.25645009]
337,[70.11444609],[37.13449355],[55.38842186],[18.85334858],[39.77282594],[23.80289488],[22.61618212],[45.62054965],[125.40606295],[177.0876044],[25.29215251],[277.50602171],[16.25528235],[16.44275145],[78.69748742],[107.0826372],[32.93489717]
338,[70.90653892],[36.7562842],[56.28385481],[18.3708657],[39.4288544],[24.228273],[22.97231004],[44.5196175],[126.3171869],[176.39423883],[24.61684355],[278.46925824],[15.95914124],[16.0948726],[78.2325719],[107.55073116],[32.76028825]
339,[70.20815702],[36.31206684],[55.28261061],[17.87166049],[38.9847706],[24.02215148],[22.84901563],[43.13441847],[124.76333199],[177.64454518],[24.32569817],[280.49920683],[15.99078455],[16.12972681],[77.28185064],[108.53118797],[33.07523034]
340,[69.52731011],[36.49053265],[54.33605402],[17.95557283],[38.76602677],[23.70357301],[22.49844988],[43.90874601],[124.30337575],[178.9545173],[24.00078506],[278.16934586],[16.21047239],[16.49827246],[76.7899728],[108.70114661],[32.14871325]
341,[71.93984984],[36.70846559],[55.10988804],[18.22643568],[39.5083868],[23.96454183],[22.70515125],[44.48639878],[127.24824099],[183.54646629],[24.30324017],[285.8723413],[16.49843901],[16.75187535],[77.23813811],[111.46774587],[32.63553923]
342,[72.97931827],[37.4904742],[55.58545209],[18.40524231],[39.58680988],[25.09414551],[23.78278536],[44.9689628],[128.64382821],[184.72624782],[24.51537004],[293.73316425],[16.65892505],[16.92308004],[78.05091157],[114.30010678],[32.16636958]
343,[73.20829352],[36.21964893],[53.11107226],[17.62355325],[36.14879753],[24.24915677],[22.91532415],[41.57975647],[123.97297214],[178.15044648],[23.40256267],[291.082524],[16.1228033],[16.39185352],[76.35942622],[112.21733335],[31.82246652]
344,[72.11198412],[36.06832438],[52.24366501],[17.3882798],[36.49750945],[23.98656388],[22.61421745],[40.78528459],[122.40918809],[175.89204844],[23.01908964],[290.1953844],[15.73969898],[16.08312522],[75.04462384],[108.16593127],[32.28667045]
345,[73.82467866],[36.36520128],[53.16999371],[17.36244344],[36.52820409],[24.63976631],[23.15575475],[41.01064276],[124.89179774],[176.72504055],[23.63163074],[300.85232204],[15.86594411],[16.14458527],[75.55441693],[110.58395581],[32.90517393]
346,[74.91139903],[36.67165674],[53.32951101],[17.85190985],[36.76277594],[24.42147573],[22.88966282],[41.5109377],[126.13446039],[181.18744704],[23.63441323],[314.62415995],[16.132673],[16.38669471],[75.81983876],[111.63243263],[34.54981169]
347,[74.07609759],[36.86775822],[53.36186621],[18.05651361],[36.91607433],[24.36730242],[22.8066993],[41.2116934],[125.24737466],[180.20758422],[23.64670134],[324.60259863],[16.43108714],[16.61704556],[75.41877658],[111.01383438],[34.44538373]
348,[74.18484905],[36.91662099],[52.16509708],[17.83950685],[36.08639976],[23.89268779],[22.35301999],[41.41278359],[127.42025911],[183.75595514],[23.43026127],[320.50596591],[16.31046308],[16.50666146],[74.19765919],[111.20400996],[35.59182314]
349,[76.50585597],[37.12544949],[52.62045803],[17.80306063],[36.86534721],[23.87410275],[22.37756714],[41.34499733],[128.39032745],[181.90719045],[23.67610637],[316.86513268],[16.21950012],[16.39978372],[73.58635288],[113.27549406],[34.75246844]
350,[77.97404046],[37.03880916],[52.13157602],[17.93067766],[37.13545848],[24.13677126],[22.44388175],[40.73201827],[128.49274506],[185.13986815],[23.93238129],[331.394017],[16.47472921],[16.80740539],[73.69982066],[116.24696701],[35.12050793]
351,[77.0119281],[37.38410566],[52.31536749],[18.00363651],[36.93113884],[24.34913946],[22.5500873],[41.36757275],[128.34197027],[184.47598629],[23.72970879],[320.99822108],[16.53563682],[16.83559587],[73.44917988],[115.84023152],[35.44082612]
352,[76.14838803],[37.3772135],[51.91725961],[17.66916473],[36.41337558],[24.19718367],[22.41071017],[40.94617846],[126.32282747],[181.94172357],[23.43298729],[316.20014023],[16.36357531],[16.642738],[73.7179163],[113.91740029],[34.05029479]
353,[74.38447449],[37.01789504],[51.27907145],[17.30838012],[35.98645474],[24.00436002],[22.18176637],[40.49618716],[127.9969134],[184.23033144],[23.45857286],[321.37708193],[16.33988008],[16.66630533],[73.90636897],[109.77268122],[36.48429053]
354,[73.60828906],[37.06754728],[51.05566362],[16.96049734],[36.1388601],[23.33332367],[21.54506258],[40.0640974],[129.20728131],[183.92994317],[23.58981967],[321.18316955],[16.41566889],[16.73710601],[73.89518204],[109.19118845],[35.81541797]
355,[71.98019031],[36.99076014],[50.92514427],[17.14429311],[35.82286745],[23.13694938],[21.50394537],[40.78226312],[128.69875604],[185.4731808],[23.58633614],[318.44211074],[16.59336214],[16.99798489],[73.97749536],[107.55726247],[35.57822914]
356,[71.3068899],[36.5593129],[50.81112682],[16.65893018],[35.28063327],[22.89889443],[21.18759446],[39.59665568],[125.71415772],[172.81768878],[23.40350731],[313.39410194],[16.33541519],[16.74595357],[73.57912881],[104.94725989],[35.00636982]
357,[71.49858425],[36.35453455],[50.28626102],[16.22971504],[34.55166258],[21.91734676],[20.20971982],[38.81322427],[126.93676247],[168.79566413],[22.88725166],[317.6594111],[16.36440754],[16.75441743],[72.30022001],[105.49403646],[31.28761449]
358,[71.68483435],[35.98781198],[50.85469797],[16.37493044],[34.47355129],[22.11919344],[20.45905129],[39.07476895],[125.91553235],[170.19160332],[22.94513441],[316.36444894],[16.51696459],[16.90751519],[72.45830414],[104.78988134],[32.62933076]
359,[70.00759788],[35.34634154],[50.2363552],[15.75791519],[33.21496301],[21.47079595],[19.82064887],[37.73637715],[123.35918562],[166.25798478],[22.2561638],[306.79448068],[16.24541781],[16.67393996],[70.84712594],[102.73846413],[31.3372885]
360,[68.34011879],[34.68764857],[49.33302266],[15.51223457],[33.14820039],[20.99822034],[19.3215054],[36.67601868],[122.01930253],[160.40518353],[22.07286388],[301.13122594],[15.55204771],[15.99018274],[70.3291668],[100.14918507],[31.18859778]
361,[70.06297069],[34.70524852],[51.61142561],[16.25915439],[33.56043379],[21.72359332],[19.88692571],[37.12705418],[126.48633382],[160.55499484],[22.74742469],[320.47474782],[15.69517086],[16.1181535],[71.57599337],[102.9690371],[32.07917876]
