,Activision_Blizzard_predictions,ATT_predictions,CBS_predictions,CenturyLink_predictions,Comcast_predictions,Discovery_Class_A_predictions,Discovery_Class_C_predictions,Dish_predictions,Electronic_Arts_predictions,Facebook_predictions,Interpublic_Group_predictions,Netflix_predictions,News_Corp_Class_A_predictions,News_Corp_Class_B_predictions,Omnicom_Group_predictions,Take_Two_Interactive_predictions,Twitter_predictions
74,[39.47129203],[41.76592332],[64.11000929],[26.06731509],[75.50861575],[27.82235522],[27.20468537],[57.87639694],[81.76668103],[132.75013861],[23.88754388],[138.6801316],[12.21381807],[12.54608544],[87.05043555],[53.70290228],[16.75552452]
75,[39.62524005],[42.07246621],[64.7309566],[25.92337075],[75.92885103],[27.98699612],[27.36213327],[59.43854875],[83.24761058],[132.01515413],[23.88287068],[142.07411449],[12.35919591],[12.64718904],[86.97578115],[53.73543816],[16.51279335]
76,[39.62952592],[41.81873809],[64.46775223],[25.79593811],[75.32085302],[27.86536493],[27.28689129],[59.19400361],[83.85250741],[130.79231608],[23.91081121],[140.82963285],[12.32103528],[12.68391538],[87.11588916],[53.44311242],[16.83981643]
77,[40.22543295],[42.15948873],[64.51336591],[25.85782723],[75.46080181],[28.30206193],[27.6769923],[59.28603952],[83.39459183],[130.44213672],[23.55624122],[140.43284678],[12.26147147],[12.62843967],[85.72835402],[53.62993987],[17.48805982]
78,[40.47499475],[42.06193983],[64.55192691],[25.47726539],[75.55546973],[27.94965839],[27.32522639],[61.17324944],[82.97858609],[133.62592896],[23.31869824],[140.42031229],[12.36632543],[12.70937869],[85.1175543],[54.36832529],[17.20135753]
79,[40.47331901],[41.16802752],[64.14188202],[25.25660857],[75.0958243],[27.69116718],[27.0652785],[61.2186492],[82.51929776],[131.01165542],[23.32520244],[138.95046373],[12.19900842],[12.58400772],[85.15344023],[54.79669118],[17.67150207]
80,[40.0348227],[41.22880654],[64.16709803],[25.44173261],[75.33874036],[28.02350813],[27.38936806],[61.92612965],[81.33004444],[130.79207099],[23.53932656],[139.98925797],[12.26242311],[12.58684282],[85.70853035],[54.05202226],[17.49345206]
81,[40.22983942],[41.06438345],[64.63560203],[25.02385982],[74.55862566],[27.87377539],[27.15254553],[60.88776008],[81.68962744],[132.30587256],[23.70051015],[140.62305627],[12.21908185],[12.547672],[87.33425331],[54.22207184],[17.78161999]
82,[40.08991273],[41.17211183],[64.47102665],[24.88568689],[74.91544934],[27.90729553],[27.17000516],[60.44568647],[82.39613227],[132.08905617],[22.99065759],[143.67308776],[12.18067486],[12.53593454],[84.4653523],[53.73909108],[18.18893586]
83,[39.23764661],[41.21340104],[63.56421466],[24.42117201],[74.73575477],[27.46302511],[26.72490887],[60.85458234],[81.58038785],[134.20311048],[23.05550365],[144.286952],[12.16388494],[12.44791921],[85.05887709],[53.75606225],[18.57775811]
84,[39.78919748],[41.33301803],[64.3619333],[24.42947393],[75.06633423],[27.86452764],[27.12936011],[61.07589051],[83.44137918],[134.19677445],[23.28725082],[143.78939036],[12.38259048],[12.75144978],[84.4755944],[55.95519792],[16.49342973]
85,[47.25139867],[41.3884718],[64.32817019],[24.50559325],[75.20101395],[28.41322309],[27.61410164],[61.17813166],[86.32895424],[134.06066168],[24.22930249],[144.473368],[13.3144024],[13.6348466],[85.45175728],[57.66674186],[15.47831423]
86,[45.26712668],[40.62977595],[65.34523423],[24.62067577],[75.72647315],[28.93125631],[28.01521617],[61.96614234],[86.30036342],[134.02457731],[24.69990291],[142.89466122],[13.06965085],[13.33160911],[85.82940259],[58.34196908],[15.6796928]
87,[44.94508817],[40.744376],[65.33753089],[24.53193486],[76.11007079],[28.46020253],[27.84728752],[61.92230378],[85.98402689],[133.99294746],[24.48515592],[140.60249175],[13.07144785],[13.35458525],[85.14542912],[58.16832359],[16.47016399]
88,[45.5367383],[41.13468776],[65.27179412],[24.3836502],[76.59891319],[28.39027666],[27.80493017],[62.94006912],[87.92899183],[133.55988015],[24.7037572],[142.03116665],[13.11463558],[13.45056984],[85.62102899],[59.09788317],[16.92790026]
89,[45.2187207],[41.30546842],[65.41374452],[24.26953126],[75.98805242],[28.49113467],[27.9288205],[62.66483273],[87.77360863],[134.00001873],[24.52825371],[141.70847937],[12.97130293],[13.31738816],[85.29453742],[59.75129676],[16.36926591]
90,[45.41488719],[41.48920717],[65.66219484],[24.27514691],[75.33498498],[28.5715714],[27.99898848],[62.93091398],[87.32595403],[133.6921282],[24.52805946],[141.95208291],[13.08820179],[13.51631639],[85.4272433],[59.67362937],[16.47062932]
91,[45.39934877],[41.7310957],[67.44454158],[24.68435464],[34.97473433],[29.55636047],[28.82159879],[62.78528331],[87.58127924],[133.81684173],[24.58832123],[142.24234277],[13.33134849],[13.65287899],[85.29831936],[59.09364948],[16.28832136]
92,[45.2647485],[41.59206256],[67.12730562],[24.8164511],[36.93508911],[29.43037026],[28.58227515],[62.40615728],[87.3973146],[136.29560094],[24.71312562],[143.55054177],[13.28061287],[13.5836052],[85.31018268],[58.44474308],[16.01956711]
93,[45.13793557],[41.95798903],[66.41755958],[24.68190955],[39.97165488],[29.39868693],[28.50646283],[61.90950477],[86.73236848],[135.44074089],[24.5316788],[142.43346726],[13.23389545],[13.49699376],[85.34625464],[57.94673849],[15.98600825]
94,[45.5864423],[42.37526313],[66.9366608],[24.56334093],[39.48049528],[29.20498226],[28.51218942],[62.56991459],[86.65748286],[135.2713551],[24.56269499],[142.97028551],[13.09758525],[13.38745574],[86.11118179],[57.72677568],[15.89616377]
95,[45.69073741],[41.82690212],[66.16570491],[24.59894645],[41.09732323],[28.9350473],[28.21992938],[62.51443306],[87.12683356],[136.49111374],[24.56414069],[143.07582661],[13.03400472],[13.38181742],[86.18294379],[57.65536849],[16.01776639]
96,[45.17823866],[41.77418611],[65.9875399],[24.23191801],[37.39095228],[28.68817869],[28.00050889],[62.02427796],[86.59464966],[135.69832985],[24.12971585],[141.86074092],[12.81040157],[13.18881111],[85.22385003],[57.15721334],[15.75339701]
97,[47.13216189],[42.03156265],[67.21103583],[24.03716759],[37.5841444],[28.44043443],[27.79771149],[61.9943024],[88.00664071],[137.45661983],[24.3757749],[142.37311043],[13.08765975],[13.40579325],[86.24315786],[58.82124686],[15.71956767]
98,[46.57987262],[42.11174334],[67.1163076],[23.51594407],[37.42951834],[28.42018574],[27.58322545],[60.77922465],[87.02404273],[136.88955812],[24.45212867],[139.2393075],[12.84183803],[13.24849022],[86.2558137],[58.0050659],[15.7227142]
99,[47.09853216],[42.01876255],[68.31958804],[23.49361753],[37.19995173],[27.81617158],[27.12136355],[61.24936396],[87.33098627],[137.15532575],[24.24288007],[138.97366067],[12.88327971],[13.23739185],[85.57125766],[58.16422143],[15.68513744]
100,[47.78162547],[41.95343797],[67.97005251],[23.09541173],[37.42641353],[27.70537961],[27.11879505],[61.19308512],[87.19722898],[137.48405998],[24.23197868],[141.63175886],[12.97505695],[13.26588714],[84.5534653],[58.7760827],[15.52718232]
101,[47.98767529],[41.88418775],[67.98648172],[22.48243272],[37.40493353],[27.6900223],[27.14109015],[64.12160081],[88.41651116],[137.43774278],[24.22388587],[141.10334161],[12.62003857],[12.96670721],[84.13274926],[59.00880393],[15.12762736]
102,[48.57761179],[41.77675613],[67.98837031],[22.48130225],[37.0854303],[27.89249584],[27.31394397],[63.90045579],[89.11759791],[137.78301764],[24.3048967],[140.01394554],[12.49673159],[12.79801729],[85.05053072],[59.43068851],[15.163151]
103,[48.9876657],[41.95469065],[67.69140237],[22.75041825],[37.36627193],[27.79889665],[27.2382103],[63.56525099],[89.06965627],[138.37015542],[24.18496197],[140.21055288],[12.40130232],[12.79417777],[85.0508022],[59.18344386],[15.16588843]
104,[49.18210661],[42.37718742],[67.43255771],[23.1515735],[37.30513283],[27.6071546],[27.01084401],[61.9463939],[89.86861769],[138.87969232],[24.23776994],[140.61668769],[12.36046179],[12.78777332],[84.59058897],[59.00497229],[15.08844689]
105,[49.50497617],[42.39005764],[67.89181872],[23.458658],[37.2767055],[27.42650402],[26.70042996],[62.01694328],[90.76370202],[139.6442966],[24.26593415],[143.20854006],[12.28570288],[12.5487208],[84.30502058],[59.49359396],[15.16604136]
106,[49.10618504],[42.08316357],[67.99474048],[23.30007178],[37.39941236],[27.37255629],[26.58680064],[62.47028443],[90.92817388],[139.33928291],[24.29356388],[142.78846054],[12.40434328],[12.71350413],[84.35974302],[59.31359896],[15.23803861]
107,[49.27707562],[42.59228253],[68.2185411],[23.76850289],[37.73401243],[27.92583487],[27.15231291],[63.19372124],[91.56818922],[139.73162422],[24.49572812],[144.93101078],[12.60407492],[12.90119467],[84.84849951],[59.1186804],[14.98263754]
